DATAFLOW,LAST UPDATE,freq,isco08,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,AL,2013,11092.27,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,AT,2012,5966.02,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,AT,2013,7247.71,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,AT,2014,6788.21,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,AT,2015,6886.61,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,AT,2016,7172.96,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,AT,2017,7049.33,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,AT,2018,6567.99,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,AT,2019,7149.69,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,AT,2020,6923.03,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,BE,2012,9412.65,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,BE,2013,9489.29,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,BE,2014,8695.93,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,BE,2015,8295.95,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,BE,2016,7020.71,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,BE,2017,6754.84,
