DATAFLOW,LAST UPDATE,freq,age,indic_he,unit,sex,icd10,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,AT,2015,25581.2,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,BE,2012,16989.8,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,BE,2013,16854.3,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,BE,2014,16926.7,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,BE,2017,16792.1,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,BE,2018,16833.3,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,BE,2019,16719.3,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,BE,2020,13903.3,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,BE,2021,15113.1,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,BG,2012,27931.8,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,BG,2013,30572.3,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,BG,2014,32161.3,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,BG,2015,32082.7,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,BG,2016,31686.8,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,BG,2017,32946.3,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,BG,2018,34188.6,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,BG,2019,34584.4,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,BG,2020,28321.6,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,BG,2021,29268.6,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,CH,2012,16636.3,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,CH,2013,16698.6,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,CH,2014,16819.7,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,CH,2015,16976.9,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,CH,2016,17226.6,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,CH,2017,17092.8,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,CH,2018,16958.0,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,CH,2019,16878.5,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,CH,2020,15877.2,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,CH,2021,16545.2,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,CY,2013,7793.4,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,CY,2014,7817.2,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,CY,2015,7713.0,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,CY,2016,7638.2,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,CY,2017,7751.5,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,CY,2018,7980.4,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,CZ,2012,20054.5,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,CZ,2013,20377.3,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,CZ,2014,20627.4,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,CZ,2015,20347.4,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,CZ,2016,19994.6,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,CZ,2017,19813.6,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,CZ,2018,19589.8,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,CZ,2019,19133.0,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,CZ,2020,16135.1,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,CZ,2021,15908.6,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,DE,2012,24632.0,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,DE,2013,24992.7,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,DE,2014,25602.5,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,DE,2015,25534.3,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,DE,2016,25685.6,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,DE,2017,25477.9,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,DE,2018,25246.8,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,DE,2019,25305.2,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,DE,2020,21859.5,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,DE,2021,21790.0,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,DK,2012,15346.0,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,DK,2013,15173.4,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,DK,2014,15156.3,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,DK,2016,14491.7,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,ES,2015,10219.3,
ESTAT:HLTH_CO_DISCH2(1.0),21/11/23 23:00:00,A,TOTAL,INPAT,P_HTHAB,T,A-T_Z,ES,2016,10422.6,
