DATAFLOW,LAST UPDATE,freq,age,indic_he,unit,sex,icd10,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,AT,2012,7.9,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,AT,2013,8.1,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,AT,2014,8.2,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,AT,2015,8.5,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,AT,2016,8.2,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,AT,2017,8.3,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,AT,2018,8.3,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,AT,2019,8.3,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,AT,2020,8.5,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,AT,2021,8.5,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,BE,2012,6.8,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,BE,2013,6.8,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,BE,2014,6.6,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,BE,2016,6.5,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,BE,2017,6.3,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,BE,2018,6.3,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,BE,2019,6.1,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,BE,2020,6.3,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,BE,2021,5.9,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,BG,2012,5.8,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,BG,2013,5.6,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,BG,2014,5.4,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,BG,2015,5.4,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,BG,2016,5.3,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,BG,2017,5.3,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,BG,2018,5.2,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,BG,2019,5.2,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,BG,2020,5.2,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,BG,2021,5.2,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,CH,2012,8.9,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,CH,2013,8.8,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,CH,2014,8.7,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,CH,2015,8.6,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,CH,2016,8.5,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,CH,2017,8.4,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,CH,2018,8.4,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,CH,2019,8.4,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,CH,2020,8.5,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,CH,2021,8.3,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,CY,2012,5.8,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,CY,2013,5.7,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,CY,2014,5.8,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,CY,2015,5.7,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,CY,2016,6.0,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,CY,2017,6.1,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,CY,2018,6.1,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,CY,2019,6.2,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,CY,2020,7.0,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,CY,2021,5.1,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,CZ,2012,9.7,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,CZ,2013,9.6,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,CZ,2014,9.6,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,CZ,2015,9.5,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,CZ,2016,9.6,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,CZ,2017,9.6,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,CZ,2018,9.6,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,CZ,2019,9.8,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,CZ,2020,10.6,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,CZ,2021,9.8,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,DE,2012,9.4,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,DE,2013,9.3,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,DE,2014,9.2,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,DE,2015,9.1,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,DE,2016,9.0,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,DE,2017,9.0,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,DE,2018,9.0,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,DE,2019,9.0,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,DE,2020,8.9,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,DE,2021,8.9,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,DK,2012,5.8,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,DK,2013,5.7,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,DK,2014,5.6,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,DK,2015,5.5,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,DK,2016,5.5,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,EE,2012,7.8,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,EE,2013,7.3,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,EE,2014,7.4,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,EE,2016,7.3,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,EE,2017,7.5,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,EE,2018,7.3,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,EE,2020,7.8,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,EE,2021,7.8,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,EL,2013,7.6,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,EL,2014,7.4,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,EL,2015,6.9,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,ES,2012,6.7,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,ES,2013,6.6,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,ES,2014,6.6,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,ES,2015,6.7,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,ES,2016,7.0,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,ES,2017,7.5,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,ES,2018,8.3,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,ES,2019,8.1,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,ES,2020,8.6,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,ES,2021,8.1,
