DATAFLOW,LAST UPDATE,freq,unit,facility,hlthcare,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,1960,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,1961,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,1962,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,1963,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,1964,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,1965,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,1966,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,1967,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,1968,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,1969,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,1970,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,1971,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,1972,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,1973,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,1974,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,1975,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,1976,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,1977,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,1978,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,1979,,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,1980,427.06,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,1981,418.59,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,1982,415.83,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,1983,408.23,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,1984,413.37,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,1985,412.85,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,1986,405.97,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,1987,396.03,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,1988,393.02,
ESTAT:HLTH_RS_BDS1(1.0),12/07/23 11:00:00,Annual,Per hundred thousand inhabitants,Available beds in hospitals (HP.1),Total,Albania,1989,407.38,
