DATAFLOW,LAST UPDATE,freq,unit,icd10,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Austria,2011,817.74,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Austria,2012,844.98,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Austria,2013,826.55,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Austria,2014,795.74,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Austria,2015,820.93,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Austria,2016,779.04,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Austria,2017,797.24,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Austria,2018,784.67,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Austria,2019,765.68,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Austria,2020,819.09,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Belgium,2011,840.14,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Belgium,2012,860.63,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Belgium,2013,849.81,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Belgium,2014,799.78,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Belgium,2015,835.59,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Belgium,2016,789,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Belgium,2017,789.61,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Belgium,2018,786.31,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Belgium,2019,759.43,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Belgium,2020,870.67,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Bulgaria,2011,1394.04,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Bulgaria,2012,1410.57,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Bulgaria,2013,1309.79,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Bulgaria,2014,1353.3,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Bulgaria,2015,1361.1,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Bulgaria,2016,1300.24,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Bulgaria,2017,1321.86,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Bulgaria,2018,1286.24,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Bulgaria,2019,1261.39,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Bulgaria,2020,1408.01,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Switzerland,2011,724.11,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Switzerland,2012,739.4,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Switzerland,2013,731.57,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Switzerland,2014,700.6,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Switzerland,2015,726.05,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Switzerland,2016,686.11,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Switzerland,2017,685.32,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Switzerland,2018,676.42,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Switzerland,2019,667.62,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Switzerland,2020,720.74,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Cyprus,2011,909.11,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Cyprus,2012,916.04,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Cyprus,2013,794.57,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Cyprus,2014,845.27,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Cyprus,2015,899.62,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Cyprus,2016,831.92,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Cyprus,2017,904.04,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Cyprus,2018,811.5,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Cyprus,2019,834.87,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Cyprus,2020,841.93,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Czechia,2011,1089.62,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Czechia,2012,1088.39,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Czechia,2013,1072.97,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Czechia,2014,1007.87,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Czechia,2015,1051.21,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Czechia,2016,979.46,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Czechia,2017,998.57,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Czechia,2018,990.73,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Czechia,2019,961.64,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Czechia,2020,1082.84,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Germany,2011,876.27,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Germany,2012,879.11,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Germany,2013,890.72,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Germany,2014,840.85,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Germany,2015,876.31,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Germany,2016,837.39,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Germany,2017,845.37,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Germany,2018,853.59,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Germany,2019,821.26,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Germany,2020,837.16,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Denmark,2011,945.47,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Denmark,2012,926.73,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Denmark,2013,910.66,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Denmark,2014,871.92,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Denmark,2015,876.93,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Denmark,2016,867.05,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Denmark,2017,851.97,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Denmark,2018,866.05,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Denmark,2019,827.3,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Denmark,2020,816.87,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Estonia,2011,1008.38,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Estonia,2012,989.55,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Estonia,2013,986.17,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Estonia,2014,961.79,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Estonia,2015,946.67,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Estonia,2016,916.84,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Estonia,2017,901.61,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Estonia,2018,897.9,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Estonia,2019,856.77,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Estonia,2020,865.38,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Greece,2011,846.8,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Greece,2012,874.67,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Greece,2013,816.16,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Greece,2014,806.54,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Greece,2015,843.38,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Greece,2016,806.37,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Greece,2017,826.86,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Greece,2018,778.72,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Greece,2019,799.83,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Greece,2020,830.25,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Spain,2011,693.42,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Spain,2012,702.85,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Spain,2013,663.2,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Spain,2014,656.46,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Spain,2015,686.92,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Spain,2016,648.4,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Spain,2017,658.51,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Spain,2018,648,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Spain,2019,619.3,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Spain,2020,721.26,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,European Union - 27 countries (from 2020),2011,857.27,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,European Union - 27 countries (from 2020),2012,866.51,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,European Union - 27 countries (from 2020),2013,844.38,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,European Union - 27 countries (from 2020),2014,815.04,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,European Union - 27 countries (from 2020),2015,846.68,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,European Union - 27 countries (from 2020),2016,807.62,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,European Union - 27 countries (from 2020),2017,817.16,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,European Union - 27 countries (from 2020),2018,806.89,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,European Union - 27 countries (from 2020),2019,785.32,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,European Union - 27 countries (from 2020),2020,853.02,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Finland,2011,815.19,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Finland,2012,824.03,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Finland,2013,799.82,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Finland,2014,803.38,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Finland,2015,781.76,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Finland,2016,782.2,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Finland,2017,762.64,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Finland,2018,762.22,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Finland,2019,735.48,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Finland,2020,735.53,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,France,2011,668.79,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,France,2012,688.65,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,France,2013,670.89,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,France,2014,644.43,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,France,2015,669.76,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,France,2016,649.92,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,France,2017,649.15,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,France,2018,637.67,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,France,2019,629.4,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,France,2020,668.46,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Croatia,2011,1198.91,
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Croatia,2012,1106.81,d
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Croatia,2013,1106.63,d
ESTAT:TPS00152$DEFAULTVIEW(1.0),18/10/23 23:00:00,Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Croatia,2014,1109.9,
