DATAFLOW,LAST UPDATE,freq,unit,icha11_hc,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Albania,2011,,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Albania,2012,,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Albania,2013,,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Albania,2014,,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Albania,2015,,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Albania,2016,,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Albania,2017,,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Albania,2018,,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Albania,2019,,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Albania,2020,,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Albania,2021,,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Albania,2022,,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Austria,2011,3705.34,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Austria,2012,3855.27,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Austria,2013,3928.93,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Austria,2014,4041.59,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Austria,2015,4129.77,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Austria,2016,4237.37,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Austria,2017,4359.69,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Austria,2018,4510.08,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Austria,2019,4690.47,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Austria,2020,4865.28,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Austria,2021,5485.57,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Austria,2022,5619.83,p
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Bosnia and Herzegovina,2011,,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Bosnia and Herzegovina,2012,,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Bosnia and Herzegovina,2013,337.05,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Bosnia and Herzegovina,2014,346.08,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Bosnia and Herzegovina,2015,372.37,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Bosnia and Herzegovina,2016,402.60,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Bosnia and Herzegovina,2017,409.09,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Bosnia and Herzegovina,2018,434.88,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Bosnia and Herzegovina,2019,,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Bosnia and Herzegovina,2020,,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Bosnia and Herzegovina,2021,,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Bosnia and Herzegovina,2022,,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Belgium,2011,3529.81,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Belgium,2012,3651.44,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Belgium,2013,3723.62,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Belgium,2014,3814.33,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Belgium,2015,3990.81,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Belgium,2016,4096.70,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Belgium,2017,4224.91,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Belgium,2018,4372.81,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Belgium,2019,4497.53,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Belgium,2020,4462.34,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Belgium,2021,4789.57,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Belgium,2022,,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Bulgaria,2011,400.96,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Bulgaria,2012,436.06,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Bulgaria,2013,413.42,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Bulgaria,2014,457.59,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Bulgaria,2015,471.74,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Bulgaria,2016,510.22,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Bulgaria,2017,556.20,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Bulgaria,2018,586.55,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Bulgaria,2019,625.59,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Bulgaria,2020,753.65,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Bulgaria,2021,884.18,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Bulgaria,2022,,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Switzerland,2011,6548.68,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Switzerland,2012,6774.25,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Switzerland,2013,6822.47,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Switzerland,2014,6978.81,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Switzerland,2015,8140.81,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Switzerland,2016,8160.69,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Switzerland,2017,8047.18,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Switzerland,2018,7772.13,
ESTAT:TPS00207(1.0),25/11/23 23:00:00,Annual,Euro per inhabitant,Current health care expenditure (CHE),Switzerland,2019,8314.46,
